代号,行政单位名称,代号,占地面积（万平方米）
1,安徽省,Anhui,13.97
2,澳门特别行政区,Macao,0.00328
3,北京市,Beijing,1.68
4,福建省,Fujian,12.13
5,甘肃省,Gansu,45.44
6,广东省,Guangdong,18
7,广西壮族自治区,Guangxi,23.6
8,贵州省,Guizhou,17.6
9,海南省,Hainan,3.4
10,河北省,Hebei,18.77
11,河南省,Henan,16.7
12,黑龙江省,Heilongjiang,45.48
13,湖北省,Hubei,18.59
14,湖南省,Hunan,21.18
15,吉林省,Jilin,18.74
16,江苏省,Jiangsu,10.26
17,江西省,Jiangxi,16.7
18,辽宁省,Liaoning,14.59
19,内蒙古自治区,Nei_Mongol,118.3
20,宁夏回族自治区,Ningxia_Hui,6.64
21,青海省,Qinghai,72.23
22,山东省,Shandong,15.38
23,山西省,Shanxi,15.63
24,陕西省,Shaanxi,20.56
25,上海市,Shanghai,0.63
26,四川省,Sichuan,48.14
27,台湾省,Taiwan,3.6
28,天津市,Tianjin,1.13
29,西藏自治区,Xizang,122.8
30,香港特别行政区,Hong_Kong,0.11
31,新疆维吾尔自治区,Xinjiang_Uygur,166
32,云南省,Yunnan,38.33
33,浙江省,Zhejiang,10.2
34,重庆市,Chongqing,8.23
